Grasp #	left finger	right finger	middle finger	palm	maxofleft	maxofright	maxofmiddle	maxofpalm
79	0.4	0.46375	0.37625	0.0025	0.8875	1.1575	1.0775	0.0075
80	0.236875	0.31125	0.004375	0.000833333	0.82	0.84	0.01	0
81	0.05625	0.126875	0.016875	0.014333333	0.1525	0.4475	0.045	0.125
82	0.215625	0.085625	0.013125	0.005	0.84	0.2925	0.025	0.03
83	0.271875	0.245625	0.0625	0.115166667	0.8075	0.545	0.19	0.8725
84	0.21875	0.08875	0.13125	0.025833333	0.805	0.305	0.4375	0.17
85	0.208125	0.050625	0.17375	0.002833333	0.7475	0.18	0.605	0.02
86	0.306875	0.32125	0.259375	0.009666667	0.7925	1.1575	0.8425	0.0525
87	0.345625	0.030625	0.091875	0.1285	0.89	0.07	0.24	0.5775
88	0.32375	0.353125	0.21375	0.0035	0.9225	0.9975	0.7575	0.0125
89	0.545625	0.438125	0.36375	0.002333333	1.06	0.8725	0.7175	0.005
90	0.43625	0.763125	0.509375	0.0015	1.075	1.0725	0.775	0.0025
