Grasp #	left finger	right finger	middle finger	palm	maxofleft	maxofright	maxofmiddle	maxofpalm
89	0.43625	0.41625	0.50625	0.504	0.92	1.22	0.8775	1.0925
90	0.24	0.368125	0.21625	0.011666667	0.82	1.2325	0.66	0.1125
91	0.48375	0.374375	0.25375	0.004333333	0.9225	1.2225	0.6375	0.0225
92	0.309375	0.26875	0.2425	0.002833333	0.9	0.805	0.6475	0.01
93	0.459375	0.364375	0.504375	0.288333333	0.9375	1.0475	0.8625	1.23
94	0.438125	0.39875	0.538125	0.416833333	0.8725	1.24	0.8575	0.9675
95	0.50875	0.405625	0.539375	0.4815	1.0575	1.25	0.8575	1.03
96	0.500625	0.395	0.5425	0.456	1.0525	1.2275	0.855	1.0975
97	0.52	0.4025	0.524375	0.401333333	1.1025	1.215	0.8525	1.1925
98	0.70125	0.35375	0.4275	0.006166667	1.035	1.1925	0.865	0.0375
99	0.619375	0.333125	0.40875	0.0025	0.9175	0.945	0.8625	0.01
100	0.59375	0.290625	0.411875	0.001666667	0.975	0.925	0.8925	0.005
