Grasp #	left finger	right finger	middle finger	palm	maxofleft	maxofright	maxofmiddle	maxofpalm
50	0.06	0.066875	0.740625	0.002166667	0.1375	0.1	1.145	0.0075
51	0.025	0.35625	0.380625	0.443	0.0775	0.9775	0.92	1.1425
52	0.72625	0.034375	0.54	0.388166667	1.245	0.08	1.0875	1.12
53	0.064375	0.33375	0.4125	0.03	0.1625	1.155	0.8425	0.265
54	0.04875	0.134375	0.39125	0.464333333	0.125	0.355	0.8625	1.165
55	0.059375	0.30625	0.404375	0.033	0.2075	1.0875	1.1525	0.355
56	0.0675	0.698125	0.355	0.431666667	0.165	1.26	0.8575	1.115
57	0.061875	0.6875	0.355625	0.545166667	0.16	1.2275	0.775	1.25
58	0.299375	0.373125	0.33875	0.004833333	0.9975	0.9575	1.06	0.025
59	0.4	0.46375	0.37625	0.0025	0.8875	1.1575	1.0775	0.0075
60	0.236875	0.31125	0.004375	0.000833333	0.82	0.84	0.01	0.00
61	0.05625	0.126875	0.016875	0.014333333	0.1525	0.4475	0.045	0.125
62	0.215625	0.085625	0.013125	0.005	0.84	0.2925	0.025	0.03
63	0.271875	0.245625	0.0625	0.115166667	0.8075	0.545	0.19	0.8725
64	0.21875	0.08875	0.13125	0.025833333	0.805	0.305	0.4375	0.17
65	0.208125	0.050625	0.17375	0.002833333	0.7475	0.18	0.605	0.02
66	0.306875	0.32125	0.259375	0.009666667	0.7925	1.1575	0.8425	0.0525
67	0.345625	0.030625	0.091875	0.1285	0.89	0.07	0.24	0.5775
68	0.32375	0.353125	0.21375	0.0035	0.9225	0.9975	0.7575	0.0125
69	0.545625	0.438125	0.36375	0.002333333	1.06	0.8725	0.7175	0.005
70	0.43625	0.763125	0.509375	0.0015	1.075	1.0725	0.775	0.0025
71	0.2075	0.480625	0.494375	0.036666667	0.7	1.1875	0.9225	0.3525
72	0.5325	0.20625	0.249375	0.072833333	0.865	0.475	0.63	0.385
73	0.29375	0.548125	0.02375	0.078833333	0.84	1.015	0.0425	0.3525
74	0.471875	0.37875	0.0275	0.0835	0.9575	0.87	0.0475	0.4175
75	0.454375	0.755625	0.02375	0.107666667	0.905	1.115	0.0475	0.8125
76	0.433125	0.20625	0.080625	0.050166667	0.84	0.53	0.1975	0.3075
77	0.4075	0.53375	0.004375	0.082833333	0.805	0.84	0.0075	0.655
78	0.225	0.639375	0.0075	0.045333333	0.8025	0.865	0.02	0.3275
79	0.2825	0.50125	0.253125	0.003166667	0.98	0.8725	0.8325	0.0125
80	0.235625	0.563125	0.33	0.0015	0.8325	0.865	0.7625	0.0025
81	0.02875	0.578125	0.66625	0.001666667	0.09	0.87	0.9475	0.005
82	0.2925	0.069375	0.21125	0.125666667	0.8625	0.1425	0.795	0.8275
83	0.41125	0.1175	0.2575	0.104	0.81	0.395	0.6825	0.6425
84	0.360625	0.0375	0.275	0.120666667	0.9125	0.0975	0.885	0.83
85	0.304375	0.315	0.015	0.008666667	0.825	0.89	0.0325	0.0775
86	0.204375	0.06	0.145	0.097833333	0.7375	0.2	0.39	0.6775
87	0.206875	0.126875	0.074375	0.007666667	0.7525	0.29	0.185	0.0675
88	0.284375	0.1	0.011875	0.028333333	0.8	0.36	0.02	0.145
89	0.23375	0.12375	0.105625	0.096666667	0.79	0.3775	0.3725	0.5575
90	0.375	0.459375	0.415625	0.002166667	0.8925	0.89	1.025	0.005
