Grasp #	left finger	right finger	middle finger	palm	maxofleft	maxofright	maxofmiddle	maxofpalm
80	0.025	0.778125	0.049375	0.001666667	0.09	1.27	0.13	0.005
81	0.003125	0.256875	0.00875	0.041333333	0.01	0.87	0.0175	0.2475
82	0.003125	0.485625	0.03	0.057666667	0.0075	1.0175	0.09	0.285
83	0.005	0.426875	0.01125	0.05	0.0125	0.85	0.0175	0.19
84	0.004375	0.465	0.014375	0.061	0.0125	0.935	0.0275	0.25
85	0.009375	0.210625	0.00375	0.0415	0.0275	0.7375	0.0125	0.205
86	0.00375	0.258125	0.015	0.058	0.0075	0.9725	0.0275	0.35
87	0.215	0.535625	0.565625	0.001833333	0.7775	0.9225	1.12	0.005
88	0.0225	0.4925	0.40125	0.001333333	0.065	0.9	0.9975	0.0025
89	0.254375	0.529375	0.430625	0.001333333	0.865	0.905	1.12	0.005
90	0.018125	0.49625	0.01875	0.0095	0.0625	0.9225	0.0425	0.0525
